model,accuracy,latency,cost,leaderboard_score,efficiency,latency_score
grok 4 fast,86.19756666666667,4.11,0.022285633333333332,0.0,3867.680029434684,0.24330894323383373
gemini 2.5 pro,86.19756666666667,32.99,0.022285633333333332,0.0,3867.680029434684,0.03031221490414626
deepseek v3.2 speciale,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
glm-4.7,86.19756666666667,0.64,0.022285633333333332,0.0,3867.680029434684,1.5624975585975647
deepseek v3.1 terminus,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
doubao seed code,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
gpt-5.2,86.19756666666667,0.53,0.022285633333333332,0.0,3867.680029434684,1.8867888928511454
gpt-oss-120b (high),86.19756666666667,0.41,0.022285633333333332,0.0,3867.680029434684,2.439018441418436
qwen3 max thinking,86.19756666666667,1.74,0.022285633333333332,0.0,3867.680029434684,0.574712313383728
grok 3 mini reasoning (high),86.19756666666667,0.7,0.022285633333333332,0.0,3867.680029434684,1.4285693877580175
nova 2.0 pro preview (low),86.19756666666667,12.47,0.022285633333333332,0.0,3867.680029434684,0.08019245547775017
k-exaone,86.19756666666667,0.31,0.022285633333333332,0.0,3867.680029434684,3.2257960458192074
deepseek v3.2,86.19756666666667,1.24,0.022285633333333332,0.0,3867.680029434684,0.8064509625395464
qwen3 max,86.19756666666667,1.85,0.022285633333333332,0.0,3867.680029434684,0.5405402483566225
claude 4.5 haiku,86.19756666666667,0.42,0.022285633333333332,0.0,3867.680029434684,2.3809467120316383
mimo-v2-flash,86.19756666666667,1.74,0.022285633333333332,0.0,3867.680029434684,0.574712313383728
nova 2.0 lite (medium),86.19756666666667,15.06,0.022285633333333332,0.0,3867.680029434684,0.06640105800789788
qwen3 235b a22b 2507,86.19756666666667,1.22,0.022285633333333332,0.0,3867.680029434684,0.8196714592856892
ernie 5.0 thinking preview,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
qwen3 vl 32b,86.19756666666667,1.07,0.022285633333333332,0.0,3867.680029434684,0.9345785658144244
nova 2.0 omni (medium),86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
kimi k2 0905,86.19756666666667,0.57,0.022285633333333332,0.0,3867.680029434684,1.7543828870475666
apriel-v1.6-15b-thinker,86.19756666666667,0.28,0.022285633333333332,0.0,3867.680029434684,3.5714158163720846
qwen3 vl 235b a22b,86.19756666666667,1.11,0.022285633333333332,0.0,3867.680029434684,0.9009000892791988
magistral medium 1.2,86.19756666666667,0.48,0.022285633333333332,0.0,3867.680029434684,2.083328993064598
deepseek r1 0528,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
gpt-5 nano (high),86.19756666666667,111.22,0.022285633333333332,0.0,3867.680029434684,0.008991188554296092
qwen3 next 80b a3b,86.19756666666667,1.07,0.022285633333333332,0.0,3867.680029434684,0.9345785658144244
grok code fast 1,86.19756666666667,8.78,0.022285633333333332,0.0,3867.680029434684,0.11389520342879234
nova 2.0 lite (low),86.19756666666667,7.34,0.022285633333333332,0.0,3867.680029434684,0.1362397634550731
qwen3 coder 480b,86.19756666666667,1.72,0.022285633333333332,0.0,3867.680029434684,0.5813950108168542
gpt-oss-20b (high),86.19756666666667,0.47,0.022285633333333332,0.0,3867.680029434684,2.1276550475424525
nvidia nemotron 3 nano,86.19756666666667,0.31,0.022285633333333332,0.0,3867.680029434684,3.2257960458192074
qwen3 235b 2507,86.19756666666667,1.08,0.022285633333333332,0.0,3867.680029434684,0.9259250685878995
hyperclova x seed think (32b),86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
motif-2-12.7b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
nova 2.0 omni (low),86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
gpt-oss-120b (low),86.19756666666667,0.46,0.022285633333333332,0.0,3867.680029434684,2.1739083175906138
glm-4.6v,86.19756666666667,0.7,0.022285633333333332,0.0,3867.680029434684,1.4285693877580175
grok 4.1 fast,86.19756666666667,0.84,0.022285633333333332,0.0,3867.680029434684,1.1904747732443175
glm-4.5-air,86.19756666666667,0.56,0.022285633333333332,0.0,3867.680029434684,1.7857110969444694
mi:dm k 2.5 pro,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
nova 2.0 pro preview,86.19756666666667,0.48,0.022285633333333332,0.0,3867.680029434684,2.083328993064598
qwen3 4b 2507,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
grok 4 fast,86.19756666666667,0.58,0.022285633333333332,0.0,3867.680029434684,1.7241349583880028
qwen3 30b a3b 2507,86.19756666666667,0.99,0.022285633333333332,0.0,3867.680029434684,1.01009998979799
magistral small 1.2,86.19756666666667,0.33,0.022285633333333332,0.0,3867.680029434684,3.0302938475944012
mistral large 3,86.19756666666667,0.52,0.022285633333333332,0.0,3867.680029434684,1.9230732248591829
intellect-3,86.19756666666667,0.57,0.022285633333333332,0.0,3867.680029434684,1.7543828870475666
gemini 2.5 flash-lite (sep),86.19756666666667,4.22,0.022285633333333332,0.0,3867.680029434684,0.2369667684912871
devstral 2,86.19756666666667,0.45,0.022285633333333332,0.0,3867.680029434684,2.2222172839615912
hermes 4 405b,86.19756666666667,0.81,0.022285633333333332,0.0,3867.680029434684,1.2345663770785467
mistral medium 3.1,86.19756666666667,0.4,0.022285633333333332,0.0,3867.680029434684,2.499993750015625
gpt-oss-20b (low),86.19756666666667,0.55,0.022285633333333332,0.0,3867.680029434684,1.8181785124027046
k2-v2 (high),86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
qwen3 vl 235b a22b,86.19756666666667,1.08,0.022285633333333332,0.0,3867.680029434684,0.9259250685878995
ring-flash-2.0,86.19756666666667,1.4,0.022285633333333332,0.0,3867.680029434684,0.7142852040819971
hermes 4 70b,86.19756666666667,0.6,0.022285633333333332,0.0,3867.680029434684,1.6666638888935186
qwen3 next 80b a3b,86.19756666666667,1.13,0.022285633333333332,0.0,3867.680029434684,0.8849549690663993
llama nemotron ultra,86.19756666666667,0.72,0.022285633333333332,0.0,3867.680029434684,1.3888869598792224
qwen3 coder 30b a3b,86.19756666666667,1.48,0.022285633333333332,0.0,3867.680029434684,0.6756752191383655
ling-flash-2.0,86.19756666666667,1.5,0.022285633333333332,0.0,3867.680029434684,0.6666662222225186
gemini 2.5 flash-lite (sep),86.19756666666667,0.33,0.022285633333333332,0.0,3867.680029434684,3.0302938475944012
qwen3 vl 30b a3b,86.19756666666667,0.91,0.022285633333333332,0.0,3867.680029434684,1.0988998913188006
ling-1t,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
devstral small 2,86.19756666666667,0.35,0.022285633333333332,0.0,3867.680029434684,2.857134693900875
llama nemotron super 49b v1.5,86.19756666666667,0.22,0.022285633333333332,0.0,3867.680029434684,4.545433884391435
nova premier,86.19756666666667,0.8,0.022285633333333332,0.0,3867.680029434684,1.249998437501953
k2-v2 (medium),86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
devstral medium,86.19756666666667,0.43,0.022285633333333332,0.0,3867.680029434684,2.3255759870325883
llama 4 maverick,86.19756666666667,0.46,0.022285633333333332,0.0,3867.680029434684,2.1739083175906138
llama 3.3 nemotron super 49b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
nova 2.0 lite,86.19756666666667,0.52,0.022285633333333332,0.0,3867.680029434684,1.9230732248591829
glm-4.6v,86.19756666666667,0.89,0.022285633333333332,0.0,3867.680029434684,1.1235942431525356
ernie 4.5 300b a47b,86.19756666666667,1.88,0.022285633333333332,0.0,3867.680029434684,0.5319146106837178
hermes 4 405b,86.19756666666667,0.72,0.022285633333333332,0.0,3867.680029434684,1.3888869598792224
qwen3 vl 32b,86.19756666666667,0.96,0.022285633333333332,0.0,3867.680029434684,1.0416655815983524
exaone 4.0 32b,86.19756666666667,0.31,0.022285633333333332,0.0,3867.680029434684,3.2257960458192074
nova 2.0 omni,86.19756666666667,0.71,0.022285633333333332,0.0,3867.680029434684,1.4084487204947598
qwen3 vl 8b,86.19756666666667,0.95,0.022285633333333332,0.0,3867.680029434684,1.0526304709152938
olmo 3 7b think,86.19756666666667,0.52,0.022285633333333332,0.0,3867.680029434684,1.9230732248591829
deepseek r1 0528 qwen3 8b,86.19756666666667,1.18,0.022285633333333332,0.0,3867.680029434684,0.8474569089348231
ministral 14b (dec '25),86.19756666666667,0.3,0.022285633333333332,0.0,3867.680029434684,3.3333222222592593
falcon-h1r-7b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
deepseek r1 distill llama 70b,86.19756666666667,0.82,0.022285633333333332,0.0,3867.680029434684,1.2195107079137708
qwen3 omni 30b a3b,86.19756666666667,0.95,0.022285633333333332,0.0,3867.680029434684,1.0526304709152938
devstral small,86.19756666666667,0.36,0.022285633333333332,0.0,3867.680029434684,2.7777700617498287
solar pro 2,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
qwen3 30b a3b 2507,86.19756666666667,1.02,0.022285633333333332,0.0,3867.680029434684,0.9803911956949063
nvidia nemotron nano 9b v2,86.19756666666667,0.23,0.022285633333333332,0.0,3867.680029434684,4.347807183447029
ling-mini-2.0,86.19756666666667,1.49,0.022285633333333332,0.0,3867.680029434684,0.6711404891674569
k2-v2 (low),86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
mistral small 3.2,86.19756666666667,0.3,0.022285633333333332,0.0,3867.680029434684,3.3333222222592593
qwen3 vl 4b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
ministral 8b (dec '25),86.19756666666667,0.28,0.022285633333333332,0.0,3867.680029434684,3.5714158163720846
llama 3.3 70b,86.19756666666667,0.47,0.022285633333333332,0.0,3867.680029434684,2.1276550475424525
nvidia nemotron nano 12b v2 vl,86.19756666666667,0.21,0.022285633333333332,0.0,3867.680029434684,4.761882086275779
qwen3 vl 8b,86.19756666666667,0.9,0.022285633333333332,0.0,3867.680029434684,1.1111098765445815
llama 3.1 nemotron nano 4b v1.1,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
kimi linear 48b a3b instruct,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
reka flash 3,86.19756666666667,1.3,0.022285633333333332,0.0,3867.680029434684,0.7692301775152481
llama 3.1 405b,86.19756666666667,0.68,0.022285633333333332,0.0,3867.680029434684,1.47058607266754
llama 4 scout,86.19756666666667,0.42,0.022285633333333332,0.0,3867.680029434684,2.3809467120316383
llama 3.1 nemotron 70b,86.19756666666667,0.28,0.022285633333333332,0.0,3867.680029434684,3.5714158163720846
hermes 4 70b,86.19756666666667,0.57,0.022285633333333332,0.0,3867.680029434684,1.7543828870475666
nvidia nemotron 3 nano,86.19756666666667,0.32,0.022285633333333332,0.0,3867.680029434684,3.1249902344055176
command a,86.19756666666667,0.3,0.022285633333333332,0.0,3867.680029434684,3.3333222222592593
nvidia nemotron nano 9b v2,86.19756666666667,0.41,0.022285633333333332,0.0,3867.680029434684,2.439018441418436
phi-4,86.19756666666667,0.76,0.022285633333333332,0.0,3867.680029434684,1.3157877423845494
qwen3 1.7b,86.19756666666667,0.9,0.022285633333333332,0.0,3867.680029434684,1.1111098765445815
jamba reasoning 3b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
r1 1776,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
llama 3.2 90b (vision),86.19756666666667,0.33,0.022285633333333332,0.0,3867.680029434684,3.0302938475944012
ministral 3b (dec '25),86.19756666666667,0.27,0.022285633333333332,0.0,3867.680029434684,3.703689986333384
nova micro,86.19756666666667,0.36,0.022285633333333332,0.0,3867.680029434684,2.7777700617498287
lfm2 8b a1b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
granite 4.0 h small,86.19756666666667,8.74,0.022285633333333332,0.0,3867.680029434684,0.11441646288141158
granite 4.0 micro,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
phi-4 mini,86.19756666666667,0.31,0.022285633333333332,0.0,3867.680029434684,3.2257960458192074
deephermes 3 - mistral 24b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
llama 3.2 11b (vision),86.19756666666667,0.38,0.022285633333333332,0.0,3867.680029434684,2.631572022178889
qwen3 omni 30b a3b,86.19756666666667,0.94,0.022285633333333332,0.0,3867.680029434684,1.0638286555014302
qwen3 0.6b,86.19756666666667,0.89,0.022285633333333332,0.0,3867.680029434684,1.1235942431525356
gemma 3 27b,86.19756666666667,3.66,0.022285633333333332,0.0,3867.680029434684,0.2732239690644893
nvidia nemotron nano 12b v2 vl,86.19756666666667,0.55,0.022285633333333332,0.0,3867.680029434684,1.8181785124027046
phi-4 multimodal,86.19756666666667,0.32,0.022285633333333332,0.0,3867.680029434684,3.1249902344055176
gemma 3n e2b,86.19756666666667,0.37,0.022285633333333332,0.0,3867.680029434684,2.7026953981205457
jamba 1.7 large,86.19756666666667,0.84,0.022285633333333332,0.0,3867.680029434684,1.1904747732443175
molmo 7b-d,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
gemma 3 12b,86.19756666666667,20.1,0.022285633333333332,0.0,3867.680029434684,0.049751241305908384
gemma 3 1b,86.19756666666667,0.51,0.022285633333333332,0.0,3867.680029434684,1.9607804690579036
exaone 4.0 1.2b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
gemma 3 270m,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
granite 4.0 h 1b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
olmo 3 7b,86.19756666666667,0.43,0.022285633333333332,0.0,3867.680029434684,2.3255759870325883
lfm2 2.6b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
deephermes 3 - llama-3.1 8b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
jamba 1.7 mini,86.19756666666667,0.63,0.022285633333333332,0.0,3867.680029434684,1.5872990677792573
granite 4.0 1b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
granite 4.0 350m,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
lfm2 1.2b,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
gemma 3 4b,86.19756666666667,0.94,0.022285633333333332,0.0,3867.680029434684,1.0638286555014302
gemma 3n e4b,86.19756666666667,0.38,0.022285633333333332,0.0,3867.680029434684,2.631572022178889
granite 4.0 h 350m,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
deepseek-ocr,86.19756666666667,0.41,0.022285633333333332,0.0,3867.680029434684,2.439018441418436
grok voice agent,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
olmo 3.1 32b think,86.19756666666667,0.54,0.022285633333333332,0.0,3867.680029434684,1.851848422502921
cogito v2.1,86.19756666666667,0.38,0.022285633333333332,0.0,3867.680029434684,2.631572022178889
mi:dm k 2.5 pro preview,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
doubao-seed-1.8,86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
maziyarpanahi/calme-3.2-instruct-78b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-3.1-instruct-78b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
dfurman/calmerys-78b-orpo-v0.1,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-2.4-rys-78b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
huihui-ai/qwen2.5-72b-instruct-abliterated,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
qwen/qwen2.5-72b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-2.1-qwen2.5-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
newsbang/homer-v1.0-qwen2.5-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
ehristoforu/qwen2.5-test-32b-it,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
saxo/linkbricks-horizon-ai-avengers-v1-32b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-2.2-qwen2.5-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
fluently-lm/fluentlylm-prinum,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
jungzoona/t3q-qwen2.5-14b-instruct-1m-e3,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
jungzoona/t3q-qwen2.5-14b-v1.0-e3,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
zetasepic/qwen2.5-32b-instruct-abliterated-v2,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
rubenroy/gilgamesh-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
sakalti/ultiima-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
combinhorizon/zetasepic-abliteratedv2-qwen2.5-32b-inst-basemerge-ties,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maldv/awqward2.5-32b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
raphgg/test-2.5-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
shuttleai/shuttle-3,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
qwen/qwen2.5-32b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
mistralai/mistral-large-instruct-2411,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
rombodawg/rombos-llm-v2.5-qwen-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
saxo/linkbricks-horizon-ai-avengers-v3-32b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
zetasepic/qwen2.5-72b-instruct-abliterated,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
saxo/linkbricks-horizon-ai-avengers-v6-32b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
tanliboy/lambda-qwen2.5-32b-dpo-test,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maldv/qwentile2.5-32b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
rombodawg/rombos-llm-v2.5-qwen-32b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
openbuddy/openbuddy-llama3.3-70b-v24.1-131k,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
saxo/linkbricks-horizon-ai-avengers-v5-32b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
combinhorizon/huihui-ai-abliterated-qwen2.5-32b-inst-basemerge-ties,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
saxo/linkbricks-horizon-ai-avengers-v4-32b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
sakalti/ultiima-32b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
dnhkng/rys-xlarge,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
ssmits/qwen2.5-95b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
sakalti/ultiima-72b-v1.5,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
tomasmcm/sky-t1-coder-32b-flash,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
meta-llama/llama-3.3-70b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
fingu-ai/romboultima-32b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-2.1-rys-78b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-2.3-rys-78b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-2.1-qwen2-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-2.2-rys-78b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
undi95/mg-finalmix-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
eva-unit-01/eva-qwen2.5-72b-v0.2,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
dfurman/qwen2-72b-orpo-v0.1,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
dnhkng/rys-xlarge-base,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-2.2-qwen2-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
arcee-ai/arcee-nova,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
steelskull/l3.3-ms-nevoria-70b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
triangle104/set-70b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
aryanne/qwentileswap,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
wanlige/li-14b-v0.4,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
cran-may/tempmotacilla-cinerea-0308,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
steelskull/l3.3-nevoria-r1-70b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
qwen/qwen2-72b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
prithivmlmods/galactic-qwen-14b-exp2,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
mlabonne/bigqwen2.5-52b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
vagosolutions/llama-3.1-sauerkrautlm-70b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
meta-llama/llama-3.1-70b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
abacusai/dracarys-72b-instruct,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
saxo/linkbricks-horizon-ai-avengers-v2-32b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
suayptalha/lamarckvergence-14b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
suayptalha/lix-14b-v0.1,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-2.2-llama3.1-70b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
lunzima/nqlsg-qwen2.5-14b-megafusion-v9.1,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
maziyarpanahi/calme-2.3-llama3.1-70b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
lunzima/nqlsg-qwen2.5-14b-megafusion-v9.2,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
pankajmathur/orca_mini_v8_1_70b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
rootxhacker/apollo-70b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
yoyo-ai/zyh-llm-qwen2.5-14b-v4,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
lunzima/nqlsg-qwen2.5-14b-megafusion-v8.7,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
tarek07/progenitor-v1.1-llama-70b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
sao10k/70b-l3.3-cirrus-x1,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
anthracite-org/magnum-v1-72b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
alpindale/magnum-72b-v1,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
tensopolis/lamarckvergence-14b-tensopolis-v1,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
wanlige/li-14b-v0.4-slerp0.1,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
sthenno-com/miscii-14b-0218,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
marcuscedricridia/cheng-2,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
lunzima/nqlsg-qwen2.5-14b-megafusion-v8,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
daemontatox/llama3.3-70b-cognilink,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
sthenno/tempesthenno-ppo-ckpt40,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
dnhkng/rys-llama3.1-large,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
tensopolis/virtuoso-small-v2-tensopolis-v1,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
marcuscedricridia/cheng-2-v1.1,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
hotmailuser/rombosbeagle-v2beta-mgs-32b,86.19756666666667,1393.214780927835,0.022285633333333332,0.0,3867.680029434684,0.0007177644200819264
