Model,Use_Case,Region,Users,Requests_per_day,Accuracy_pct,Cost_per_1K,Latency_ms,Uptime_pct,Throughput_rps
Mistral-7B,Chatbot,Asia-Pacific,3736,56040,76.59,0.002,739.0,99.16,1406.6
Gemini-Pro,Code Generation,North America,2364,24477,84.06,0.0137,1441.2,99.16,803.8
GPT-4,Code Generation,Middle East,269,1508,95.72,0.05504,2876.9,99.1,362.4
Llama-3-70B,Code Generation,Middle East,1323,10027,81.15,0.00446,865.0,99.2,1169.8
Claude-3-Opus,Summarization,North America,1488,13678,92.65,0.03986,3078.1,99.18,367.9
GPT-4,Question Answering,Europe,3296,39732,92.01,0.04468,3059.9,99.12,342.8
Gemini-Pro,Content Creation,Asia-Pacific,2652,38586,84.06,0.01022,1211.7,99.15,892.8
Claude-3-Sonnet,Code Generation,North America,1937,31204,89.55,0.02067,1630.6,99.2,622.0
Claude-3-Opus,Chatbot,Europe,703,3988,92.42,0.04368,2966.9,99.19,401.1
GPT-4,Chatbot,Asia-Pacific,805,9220,95.07,0.04546,2869.4,99.16,409.2
Claude-3-Opus,Summarization,North America,874,8751,92.5,0.03832,2926.6,99.17,417.2
Gemini-Pro,Chatbot,Latin America,203,3086,88.59,0.01419,1381.0,99.17,831.7
GPT-3.5-Turbo,Code Generation,North America,847,4491,84.46,0.00783,1124.8,99.22,854.5
Gemini-Pro,Data Analysis,Europe,867,10632,86.78,0.01175,1188.5,99.17,815.6
Llama-3-70B,Code Generation,Asia-Pacific,1542,16653,86.31,0.0055,993.1,99.14,1145.4
Gemini-Pro,Chatbot,Europe,1447,6415,84.45,0.01212,1113.5,99.1,737.9
Gemini-Ultra,Question Answering,Latin America,3223,34507,92.25,0.03784,2712.9,99.17,429.3
Gemini-Ultra,Chatbot,Asia-Pacific,622,4762,88.27,0.04264,2381.0,99.14,359.2
